Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Texts,References,Correspondence Address,Editors,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Queiroz E.,Queiroz E. (60153646918),60153646918,Design and validation of a water quality assessment system (case 11),2019,Environmental Monitoring and Assessment,5,2,,296,317,19,10.9999/synthetic.2019.1010,https://doi.org/10.9999/synthetic.2019.1010,"Department of Agricultural Engineering, Example University, Example City, Country","Queiroz E., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with historical datasets to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",water quality index; nitrate leaching; eutrophication,water quality index; nitrate leaching; eutrophication,,,,,,,"Barros S., Comput Electron Agric, 98, (2023); Costa G., Comput Electron Agric, 271, (2023); Lopes Q., Journal of Applied Sciences, 202, (2010)","Queiroz E.; Department of Agricultural Engineering, Example University; email: example10@example.edu",,MDPI,,,,,,60940570,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100010
Duarte D.; Queiroz Q.; Silva K.,Duarte D. (60243775706); Queiroz Q. (56700597543); Silva K. (57392537542),60243775706; 56700597543; 57392537542,Evaluating drone-based field surveying performance under temperate conditions (case 12),2022,Biosystems Engineering,23,10,,246,320,2,10.9999/synthetic.2022.1011,https://doi.org/10.9999/synthetic.2022.1011,"Department of Agricultural Engineering, Example University, Example City, Country","Duarte D., Department of Agricultural Engineering, Example University; Queiroz Q., Department of Agricultural Engineering, Example University; Silva K., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining statistical models with field trials to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",photogrammetry; UAV imagery; canopy segmentation,photogrammetry; UAV imagery; canopy segmentation,,,,,,,"Gomes F., Int J Agric Eng, 303, (2024); Pereira O., Journal of Applied Sciences, 30, (2017); Gomes F., Int J Agric Eng, 271, (2008); Pereira H., Journal of Applied Sciences, 326, (2022); Oliveira S., Comput Electron Agric, 172, (2009); Gomes J., Journal of Applied Sciences, 230, (2020); Gomes F., Int J Agric Eng, 303, (2017); Ibrahim K., Int J Agric Eng, 191, (2017)","Duarte D.; Department of Agricultural Engineering, Example University; email: example11@example.edu",,MDPI,,,,,,48032037,,,,English,Biosystems Engineering,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100011
Pereira H.; Junqueira Q.; Costa G.,Pereira H. (58149103786); Junqueira Q. (56239340466); Costa G. (56081586423),58149103786; 56239340466; 56081586423,Evaluating IoT crop monitoring performance under greenhouse conditions (case 13),2019,Sensors,20,8,,273,306,12,10.9999/synthetic.2019.1012,https://doi.org/10.9999/synthetic.2019.1012,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira H., Department of Agricultural Engineering, Example University; Junqueira Q., Department of Agricultural Engineering, Example University; Costa G., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",smart agriculture; wireless sensor networks; LoRaWAN,smart agriculture; wireless sensor networks; LoRaWAN,,,,,,,"Pereira H., Int J Agric Eng, 94, (2014); Pereira H., Comput Electron Agric, 366, (2019); Esteves T., Journal of Applied Sciences, 105, (2018); Esteves P., Int J Agric Eng, 384, (2012); Esteves G., Journal of Applied Sciences, 198, (2015); Queiroz Q., Comput Electron Agric, 82, (2007); Esteves G., Comput Electron Agric, 99, (2015); Oliveira S., Journal of Applied Sciences, 294, (2007)","Pereira H.; Department of Agricultural Engineering, Example University; email: example12@example.edu",,IEEE,,,,,,84503672,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100012
Martins D.; Gomes J.,Martins D. (58897906438); Gomes J. (57461347176),58897906438; 57461347176,A data-driven approach to greenhouse climate control using statistical modeling (case 14),2022,Environmental Monitoring and Assessment,34,,,144,314,13,10.9999/synthetic.2022.1013,https://doi.org/10.9999/synthetic.2022.1013,"Department of Agricultural Engineering, Example University, Example City, Country","Martins D., Department of Agricultural Engineering, Example University; Gomes J., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",actuator control; microclimate modeling; energy efficiency,actuator control; microclimate modeling; energy efficiency,,,,,,,"Ibrahim K., Comput Electron Agric, 73, (2011); Queiroz Q., Journal of Applied Sciences, 155, (2016); Pereira O., Int J Agric Eng, 307, (2005)","Martins D.; Department of Agricultural Engineering, Example University; email: example13@example.edu",,Springer Nature,,,,,,89057335,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100013
Nakamura Q.; Gomes J.,Nakamura Q. (59311319956); Gomes J. (57461347176),59311319956; 57461347176,A field-tested approach to precision irrigation using cloud computing (case 15),2023,Precision Agriculture,25,,,113,315,3,10.9999/synthetic.2023.1014,https://doi.org/10.9999/synthetic.2023.1014,"Department of Agricultural Engineering, Example University, Example City, Country","Nakamura Q., Department of Agricultural Engineering, Example University; Gomes J., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with simulation to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",deficit irrigation; tensiometry; soil moisture sensors,deficit irrigation; tensiometry; soil moisture sensors,,,,,,,"Martins N., Journal of Applied Sciences, 11, (2019); Junqueira Q., Int J Agric Eng, 41, (2016); Oliveira E., Comput Electron Agric, 352, (2015); Barros S., Int J Agric Eng, 277, (2019); Gomes J., Int J Agric Eng, 298, (2024); Nakamura N., Journal of Applied Sciences, 395, (2008)","Nakamura Q.; Department of Agricultural Engineering, Example University; email: example14@example.edu",,IEEE,,,,,,11630111,,,,English,Precision Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100014
Pereira H.,Pereira H. (58149103786),58149103786,Field deployment of a precision irrigation system (case 16),2022,Precision Agriculture,18,8,,295,312,19,10.9999/synthetic.2022.1015,https://doi.org/10.9999/synthetic.2022.1015,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira H., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with historical datasets to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",tensiometry; soil moisture sensors; irrigation scheduling,tensiometry; soil moisture sensors; irrigation scheduling,,,,,,,"Barros S., Journal of Applied Sciences, 326, (2022); Nakamura N., Journal of Applied Sciences, 237, (2020); Esteves P., Int J Agric Eng, 162, (2018)","Pereira H.; Department of Agricultural Engineering, Example University; email: example15@example.edu",,Wiley,,,,,,84085838,,,,English,Precision Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100015
Henriques O.; Klein P.,Henriques O. (60494014838); Klein P. (59298064654),60494014838; 59298064654,Towards sustainable IoT crop monitoring: a pilot study (case 17),2021,Agricultural Water Management,7,8,,262,316,13,10.9999/synthetic.2021.1016,https://doi.org/10.9999/synthetic.2021.1016,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques O., Department of Agricultural Engineering, Example University; Klein P., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",Internet of Things; smart agriculture; edge computing,Internet of Things; smart agriculture; edge computing,,,,,,,"Barros D., Comput Electron Agric, 245, (2008); Esteves G., Int J Agric Eng, 340, (2019); Esteves G., Journal of Applied Sciences, 150, (2021); Nakamura N., Int J Agric Eng, 64, (2011); Junqueira O., Int J Agric Eng, 198, (2024); Costa G., Int J Agric Eng, 372, (2012); Ibrahim K., Journal of Applied Sciences, 102, (2018); Barros D., Journal of Applied Sciences, 17, (2023)","Henriques O.; Department of Agricultural Engineering, Example University; email: example16@example.edu",,MDPI,,,,,,66542916,,,,English,Agricultural Water Management,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100016
Costa G.; Pereira O.,Costa G. (56081586423); Pereira O. (57628608159),56081586423; 57628608159,Evaluating drone-based field surveying performance under tropical conditions (case 18),2025,Smart Agricultural Technology,35,5,,14,308,5,10.9999/synthetic.2025.1017,https://doi.org/10.9999/synthetic.2025.1017,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University; Pereira O., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",UAV imagery; multispectral sensing; canopy segmentation,UAV imagery; multispectral sensing; canopy segmentation,,,,,,,"Henriques B., Int J Agric Eng, 365, (2016); Esteves G., Journal of Applied Sciences, 183, (2022); Henriques O., Int J Agric Eng, 365, (2005); Gomes F., Comput Electron Agric, 69, (2007); Martins D., Int J Agric Eng, 179, (2022); Teixeira R., Comput Electron Agric, 182, (2020); Queiroz E., Comput Electron Agric, 37, (2012); Esteves T., Comput Electron Agric, 105, (2017)","Costa G.; Department of Agricultural Engineering, Example University; email: example17@example.edu",,Wiley,,,,,,16013636,,,,English,Smart Agricultural Technology,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100017
Junqueira Q.; Esteves T.,Junqueira Q. (56239340466); Esteves T. (57606820609),56239340466; 57606820609,A low-cost approach to water quality assessment using embedded systems (case 19),2020,Sensors,37,,,277,303,11,10.9999/synthetic.2020.1018,https://doi.org/10.9999/synthetic.2020.1018,"Department of Agricultural Engineering, Example University, Example City, Country","Junqueira Q., Department of Agricultural Engineering, Example University; Esteves T., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with historical datasets to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",nitrate leaching; eutrophication; groundwater monitoring,nitrate leaching; eutrophication; groundwater monitoring,,,,,,,"Esteves G., Journal of Applied Sciences, 63, (2012); Junqueira O., Comput Electron Agric, 304, (2021); Costa G., Comput Electron Agric, 168, (2005); Silva K., Journal of Applied Sciences, 381, (2022); Junqueira O., Comput Electron Agric, 302, (2020); Nakamura N., Comput Electron Agric, 291, (2020); Ibrahim K., Journal of Applied Sciences, 287, (2005); Pereira M., Int J Agric Eng, 363, (2013)","Junqueira Q.; Department of Agricultural Engineering, Example University; email: example18@example.edu",,MDPI,,,,,,67209634,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100018
Junqueira Q.,Junqueira Q. (56239340466),56239340466,Performance evaluation of a drone-based field surveying system (case 20),2020,Precision Agriculture,48,,,120,315,52,10.9999/synthetic.2020.1019,https://doi.org/10.9999/synthetic.2020.1019,"Department of Agricultural Engineering, Example University, Example City, Country","Junqueira Q., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",canopy segmentation; multispectral sensing; NDVI,canopy segmentation; multispectral sensing; NDVI,,,,,,,"Queiroz Q., Journal of Applied Sciences, 293, (2010); Costa G., Int J Agric Eng, 24, (2021); Barros S., Journal of Applied Sciences, 359, (2008); Barros D., Comput Electron Agric, 372, (2023)","Junqueira Q.; Department of Agricultural Engineering, Example University; email: example19@example.edu",,Springer Nature,,,,,,92389518,,,,English,Precision Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100019
